type,id,attributes.contains_refund,attributes.currency,attributes.date_placed,attributes.deferred_item_count,attributes.deferred_item_total,attributes.deferred_item_total_incl_tax,attributes.has_deferred_payments,attributes.has_interac_payments,attributes.is_past_refund_date,attributes.is_refundable,attributes.location,attributes.net_total,attributes.number,attributes.payment_sources.0.label,attributes.payment_sources.0.amount_allocated,attributes.payment_sources.0.currency,attributes.payment_sources.0.date_created,attributes.refund_subtotal,attributes.refund_total,attributes.refund_total_tax,attributes.should_display_price_include_tax,attributes.status,attributes.subtotal,attributes.subtotal_excl_discounts,attributes.subtotal_incl_tax,attributes.summary.0,attributes.summary_nonrefunded_items.0,attributes.taxes.0.name,attributes.taxes.0.tax,attributes.total,attributes.total_amount_refunded,attributes.total_discount,attributes.total_tax,relationships.billing_address.data,relationships.broker.data.type,relationships.broker.data.id,relationships.cart.data.type,relationships.cart.data.id,relationships.fulfillment_partner.data.type,relationships.fulfillment_partner.data.id,relationships.order_lines.data.0.type,relationships.order_lines.data.0.id,relationships.originating_partner.data.type,relationships.originating_partner.data.id,relationships.parent_order.data,relationships.user.data.type,relationships.user.data.id
orders,21381,,USD,2024-06-28T21:46:42.141225Z,0,0,0,,,,1,Orange,10,32Z5-V23B-55O4,"Visa ending in 2209",10,USD,2024-06-28T21:46:42.298775Z,0,0,0,,Completed,10,10,10,"Torrance/Lakewood/Orange | 1 Week Trial for $10","Torrance/Lakewood/Orange | 1 Week Trial for $10","Orange Tax - Memberships",0,10,0,0,0,,users,40852,carts,34309,partners,41430,order_lines,21441,partners,1,,users,40852
orders,21380,,USD,2024-06-28T20:52:31.878589Z,0,0,0,,,,1,Torrance,160,RWTM-HUCB-55O4,"Visa ending in 5409",160,USD,2024-06-28T20:52:32.001568Z,0,0,0,,Completed,160,160,160,"D1. VIP Unlimited - M2M","D1. VIP Unlimited - M2M","Torrance Tax - Memberships",0,160,0,0,0,,users,35171,carts,34738,partners,41362,order_lines,21440,partners,1,,users,35171
orders,21379,,USD,2024-06-28T20:52:31.407306Z,0,0,0,,,,1,Torrance,149,UNYT-UVGN-55O4,"Visa ending in 5481",149,USD,2024-06-28T20:52:31.547881Z,0,0,0,,Completed,149,149,149,"C5. VIP Unlimited Membership - 12 Month Contract","C5. VIP Unlimited Membership - 12 Month Contract","Torrance Tax - Memberships",0,149,0,0,0,,users,35116,carts,34737,partners,41362,order_lines,21439,partners,1,,users,35116
orders,21378,,USD,2024-06-28T20:52:31.261211Z,0,0,0,,,,1,Torrance,160,57KR-QTWA-55O4,"Visa ending in 9332",160,USD,2024-06-28T20:52:31.459955Z,0,0,0,,Completed,160,160,160,"D1. VIP Unlimited - M2M","D1. VIP Unlimited - M2M","Torrance Tax - Memberships",0,160,0,0,0,,users,34721,carts,34736,partners,41362,order_lines,21438,partners,1,,users,34721
orders,21377,,USD,2024-06-28T20:52:31.201878Z,0,0,0,,,,1,Torrance,160,AFFV-WY7K-55O4,"Visa ending in 9190",160,USD,2024-06-28T20:52:31.381258Z,0,0,0,,Completed,160,160,160,"D3. VIP Unlimited - M2M (Grand Opening)","D3. VIP Unlimited - M2M (Grand Opening)","Torrance Tax - Memberships",0,160,0,0,0,,users,34949,carts,34733,partners,41362,order_lines,21437,partners,1,,users,34949
orders,21376,,USD,2024-06-28T20:52:31.185326Z,0,0,0,,,,1,Torrance,25,CH8J-5EUU-55O4,"Visa ending in 7901",25,USD,2024-06-28T20:52:31.351722Z,0,0,0,,Completed,25,25,25,"S1. 2023 Anniversary Special - Starter Package","S1. 2023 Anniversary Special - Starter Package","Torrance Tax - Memberships",0,25,0,0,0,,users,38892,carts,34732,partners,41362,order_lines,21436,partners,1,,users,38892
orders,21375,,USD,2024-06-28T20:52:31.053645Z,0,0,0,,,,1,Torrance,120,DFBW-3MPR-55O4,"Mastercard ending in 7422",120,USD,2024-06-28T20:52:31.237092Z,0,0,0,,Completed,120,120,120,"D2. Club Package - M2M","D2. Club Package - M2M","Torrance Tax - Memberships",0,120,0,0,0,,users,34737,carts,34735,partners,41362,order_lines,21435,partners,1,,users,34737
orders,21374,,USD,2024-06-28T20:52:30.982738Z,0,0,0,,,,1,Torrance,37,DZM2-TW8D-55O4,"Visa ending in 3672",37,USD,2024-06-28T20:52:31.100570Z,0,0,0,,Completed,37,37,37,"Torrance | Club Package - 6 Month Contract","Torrance | Club Package - 6 Month Contract","Torrance Tax - Memberships",0,37,0,0,0,,users,38847,carts,34734,partners,41362,order_lines,21434,partners,1,,users,38847
orders,21373,,USD,2024-06-28T20:52:30.902633Z,0,0,0,,,,1,Torrance,25,YMJV-3QR9-55O4,"Visa ending in 7901",25,USD,2024-06-28T20:52:31.065852Z,0,0,0,,Completed,25,25,25,"S1. 2023 Anniversary Special - Starter Package","S1. 2023 Anniversary Special - Starter Package","Torrance Tax - Memberships",0,25,0,0,0,,users,38885,carts,34731,partners,41362,order_lines,21433,partners,1,,users,38885
orders,21372,,USD,2024-06-28T20:52:30.330700Z,0,0,0,,,,1,Torrance,25,TA89-EEUR-55O4,"Visa ending in 1121",25,USD,2024-06-28T20:52:30.494206Z,0,0,0,,Completed,25,25,25,"S1. 2023 Anniversary Special - Starter Package","S1. 2023 Anniversary Special - Starter Package","Torrance Tax - Memberships",0,25,0,0,0,,users,38812,carts,34730,partners,41362,order_lines,21432,partners,1,,users,38812
