type,id,attributes.adjustment_interval_count,attributes.adjustment_is_excluded_from_discounts,attributes.adjustment_renewal_rate,attributes.adjustment_renewal_rate_incl_tax,attributes.billing_cycles.0.id,attributes.billing_cycles.0.end_datetime,attributes.billing_cycles.0.start_datetime,attributes.billing_type,attributes.calculated_end_datetime,attributes.calculated_start_datetime,attributes.cancellation_datetime,attributes.cancellation_reason,attributes.commitment_length,attributes.end_date,attributes.freeze_datetime,attributes.freeze_reactivation_datetime,attributes.guest_usage_interval_limit,attributes.is_intro_offer,attributes.last_interval_remaining_guest_usage_count,attributes.last_interval_remaining_usage_count,attributes.membership_name,attributes.next_charge_date,attributes.next_charge_date_display,attributes.interval_start_date_display,attributes.payment_interval,attributes.payment_interval_end_date,attributes.payment_interval_length,attributes.payment_interval_start_date,attributes.purchase_date,attributes.remaining_renewal_count,attributes.renewal_count,attributes.renewal_currency,attributes.renewal_limit,attributes.renewal_rate,attributes.renewal_rate_incl_tax,attributes.scheduled_end_datetime,attributes.scheduled_start_datetime,attributes.should_display_price_include_tax,attributes.start_date,attributes.status,attributes.usage_interval_limit,relationships.current_membership_transaction.data.type,relationships.current_membership_transaction.data.id,relationships.membership.data.type,relationships.membership.data.id,relationships.membership_freeze.data,relationships.events.data.0.type,relationships.events.data.0.id,relationships.membership_product.data.type,relationships.membership_product.data.id,relationships.purchase_location.data.type,relationships.purchase_location.data.id,relationships.user.data.type,relationships.user.data.id
membership_instances,4458,,,,,78420,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:56:42.976911Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78420,memberships,2984,,membership_instance_events,9132,child_product_memberships,15805,locations,48784,users,40403
membership_instances,4457,,,,,78419,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:55:38.962974Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78419,memberships,2984,,membership_instance_events,9129,child_product_memberships,15805,locations,48784,users,40520
membership_instances,4453,,,,,78416,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:50:09.489115Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78416,memberships,2984,,membership_instance_events,9124,child_product_memberships,15805,locations,48784,users,40504
membership_instances,4450,,,,,78415,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:46:35.503103Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78415,memberships,2984,,membership_instance_events,9122,child_product_memberships,15805,locations,48784,users,40490
membership_instances,4444,,,,,78414,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:34:33.625953Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78414,memberships,2984,,membership_instance_events,9125,child_product_memberships,15805,locations,48784,users,40489
membership_instances,4443,,,,,78412,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:33:05.054721Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78412,memberships,2984,,membership_instance_events,9119,child_product_memberships,15805,locations,48784,users,40483
membership_instances,4441,,,,,68729,"2024-08-06 06:59:59+00:00","2024-06-07 04:30:49.221637+00:00",bill_on_purchase,2024-08-06T06:59:59Z,2024-06-06T07:00:00Z,,,,2024-08-06T06:59:59Z,,,0,,,10,"Orange, CA | Pre-Opening $1 Down VIP Membership",,2024-08-06,2024-06-06,MO,2024-08-06T06:59:59Z,2,2024-06-07T04:30:48.221637Z,2024-06-07T04:30:48.221637Z,0,1,USD,1,1.00,1.00,,,,2024-06-06T07:00:00Z,active,10,membership_transactions,68729,memberships,2919,,membership_instance_events,5275,child_product_memberships,15795,locations,48717,users,40925
membership_instances,4440,,,,,78411,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:29:28.270144Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78411,memberships,2984,,membership_instance_events,9120,child_product_memberships,15805,locations,48784,users,40465
membership_instances,4439,,,,,78410,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:25:34.043913Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78410,memberships,2984,,membership_instance_events,10964,child_product_memberships,15805,locations,48784,users,40811
membership_instances,4438,,,,,78409,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:23:52.553120Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78409,memberships,2984,,membership_instance_events,10979,child_product_memberships,15805,locations,48784,users,40906
membership_instances,4437,,,,,78408,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:22:12.337765Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78408,memberships,2984,,membership_instance_events,11275,child_product_memberships,15805,locations,48784,users,40814
membership_instances,4435,,,,,78407,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:19:20.124133Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78407,memberships,2984,,membership_instance_events,9110,child_product_memberships,15805,locations,48784,users,40813
membership_instances,4434,,,,,78406,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:17:18.920286Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78406,memberships,2984,,membership_instance_events,10478,child_product_memberships,15805,locations,48784,users,40806
membership_instances,4432,,,,,78403,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:14:51.482709Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78403,memberships,2984,,membership_instance_events,9109,child_product_memberships,15805,locations,48784,users,40792
membership_instances,4430,,,,,78404,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:11:46.139874Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78404,memberships,2984,,membership_instance_events,9112,child_product_memberships,15805,locations,48784,users,40779
membership_instances,4429,,,,,78402,"2024-08-12 06:59:59+00:00","2024-07-12 07:00:00+00:00",bill_on_start,,2024-06-12T07:00:00Z,,,0,,,,0,,,,"Orange | Pre-Opening VIP Unlimited Membership",2024-08-12T06:59:59Z,2024-08-12,2024-07-12,MO,2024-08-12T06:59:59Z,1,2024-07-12T06:59:59Z,2024-06-07T04:09:41.436834Z,,2,USD,,140.00,140.00,,2024-06-12T07:00:00Z,,2024-06-12T07:00:00Z,active,,membership_transactions,78402,memberships,2984,,membership_instance_events,9104,child_product_memberships,15805,locations,48784,users,40787
